feature,rule,n_valid,pass_n,pass_rate,precision,recall,false_pass_rate,f1,lift_vs_base_rate
diagnose_isodec_css,>= 0.70,314,269,0.856687898089172,0.6356877323420075,0.9293478260869565,0.7538461538461538,0.7549668874172186,1.0892595197427912
diagnose_abs_anchor_ppm,<= 30.0 ppm,314,314,1.0,0.5859872611464968,1.0,1.0,0.7389558232931728,1.0040970907212945
diagnose_ok,ok == 1 (final_cosine >= 0.70),317,261,0.8233438485804416,0.6245210727969349,0.8810810810810811,0.7424242424242424,0.7309417040358744,1.0701252977115046
diagnose_isodec_accepted,diagnose isodec accepted,317,261,0.8233438485804416,0.6245210727969349,0.8810810810810811,0.7424242424242424,0.7309417040358744,1.0701252977115046
diagnose_matched_peaks,>= 2,314,303,0.964968152866242,0.5841584158415841,0.9619565217391305,0.9692307692307692,0.7268993839835728,1.0009633395772009
diagnose_area_covered,>= 0.10,314,287,0.9140127388535032,0.5958188153310104,0.9293478260869565,0.8923076923076924,0.7261146496815287,1.020943591675299
fragments_coverage,>= 0.25,287,284,0.9895470383275261,0.5598591549295775,0.99375,0.984251968503937,0.7162162162162163,0.9593262276360868
fragments_match_count,>= 2,287,287,1.0,0.5574912891986062,1.0,1.0,0.7158836689038032,0.955268857707882
fragments_s2n,>= 0.00,287,287,1.0,0.5574912891986062,1.0,1.0,0.7158836689038032,0.955268857707882
fragments_interference,<= 1.00,287,287,1.0,0.5574912891986062,1.0,1.0,0.7158836689038032,0.955268857707882
fragments_ppm_rmse,<= 30.0 ppm,287,287,1.0,0.5574912891986062,1.0,1.0,0.7158836689038032,0.955268857707882
fragments_fit_score,>= 0.00,287,287,1.0,0.5574912891986062,1.0,1.0,0.7158836689038032,0.955268857707882
fragments_pc_missing_peaks,<= 100.0%,287,287,1.0,0.5574912891986062,1.0,1.0,0.7158836689038032,0.955268857707882
fragments_missing_core,<= 0.40,287,282,0.9825783972125436,0.5567375886524822,0.98125,0.984251968503937,0.7104072398190046,0.953977381636956
diagnose_top_peaks,top peaks = yes,314,162,0.5159235668789809,0.7530864197530864,0.6630434782608695,0.3076923076923077,0.7052023121387283,1.2904237570904238
fragments_css,>= 0.70,315,295,0.9365079365079365,0.5694915254237288,0.9180327868852459,0.9621212121212122,0.702928870292887,0.975831424644984
fragments_unexplained,<= 0.70,287,258,0.8989547038327527,0.5193798449612403,0.8375,0.9763779527559056,0.6411483253588518,0.8899643829876388
fragments_raw_candidate,reached raw fragments candidate,317,255,0.804416403785489,0.5215686274509804,0.7189189189189189,0.9242424242424242,0.6045454545454545,0.8937148913619501
fragments_selected_final,selected in final fragments,317,254,0.8012618296529969,0.5196850393700787,0.7135135135135136,0.9242424242424242,0.6013667425968109,0.8904873377314321
